geo,time,income_revenues,year
Malta,2006,6.7,10
Olanda,2006,6.4,10
Norvegia,2006,8.8,10
Polonia,2006,4.6,10
Portugalia,2006,5.1,10
Romania,2006,2.9,10
Suedia,2006,17.1,11
Slovenia,2006,5.7,11
Slovacia,2006,2.9,11
Austria,2007,9.7,11
Belgia,2007,11.7,11
Bulgaria,2007,2.9,11
Cipru,2007,5.3,11
Cehia,2007,4.3,11
Germania,2007,8.4,11
Danemarca,2007,24.1,11
Estonia,2007,5.7,11
Grecia,2007,4.5,11
Spania,2007,7.6,11
Franta,2007,7.7,11
Ungaria,2007,7.1,11
Irlanda,2007,9.5,11
Islanda,2007,14.8,11
Italia,2007,10.9,11
Lituania,2007,6.5,11
Luxemburg,2007,7.1,11
Letonia,2007,5.7,11
Malta,2007,5.9,11
Olanda,2007,6.7,11
Norvegia,2007,9.3,11
Polonia,2007,5.2,12
Portugalia,2007,5.3,12
Romania,2007,3.2,12
Suedia,2007,16.2,12
Slovenia,2007,5.5,12
Slovacia,2007,2.9,12
Austria,2008,10.3,12
Belgia,2008,12.2,12
Bulgaria,2008,2.7,12
Cipru,2008,4.3,12
Cehia,2008,3.9,12
Germania,2008,9,12
Danemarca,2008,24,12
Estonia,2008,6.1,12
Grecia,2008,4.5,12
Spania,2008,7.1,12
Franta,2008,7.9,12
Ungaria,2008,7.5,12
Irlanda,2008,9,12
Islanda,2008,13.6,12
Italia,2008,11.3,12
Lituania,2008,6.5,12
Luxemburg,2008,7.6,12
Letonia,2008,5.9,12
Malta,2008,5.7,13
Olanda,2008,6.5,13
Norvegia,2008,8.8,13
Polonia,2008,5.3,13
Portugalia,2008,5.4,13
Romania,2008,3.2,13
Suedia,2008,15.8,13
Slovenia,2008,5.7,13
Slovacia,2008,3.1,13
Austria,2009,9.7,13
Belgia,2009,12,13
Bulgaria,2009,2.7,13
Cipru,2009,3.3,13
Cehia,2009,3.9,13
Germania,2009,8.9,13
Danemarca,2009,25,13
Estonia,2009,5.6,13
Grecia,2009,4.4,13
Spania,2009,6.7,13
Franta,2009,7.8,13
Ungaria,2009,7.2,13
Irlanda,2009,8.9,13
Islanda,2009,12.8,13
Italia,2009,11.2,13
Lituania,2009,4.1,14
Luxemburg,2009,7.5,14
Letonia,2009,5.3,14
Malta,2009,6.3,14
Olanda,2009,7.7,14
Norvegia,2009,9.9,14
Polonia,2009,4.5,14
Portugalia,2009,5.5,14
Romania,2009,3.3,14
Suedia,2009,15.3,14
Slovenia,2009,5.7,14
Slovacia,2009,2.8,14
Austria,2010,9.6,14
Belgia,2010,12.1,14
Bulgaria,2010,2.8,14
Cipru,2010,3.4,14
Cehia,2010,3.7,14
Germania,2010,8.2,14
Danemarca,2010,24.9,14
Estonia,2010,5.3,14
Grecia,2010,4,14
Spania,2010,7,14
Franta,2010,7.7,14
Ungaria,2010,6.3,14
Irlanda,2010,8.7,15
Islanda,2010,12.3,15
Italia,2010,11.3,15
Lituania,2010,3.6,15
Luxemburg,2010,7.4,15
Letonia,2010,6.2,15
Malta,2010,5.7,15
Olanda,2010,7.6,15
Norvegia,2010,9.8,15
Polonia,2010,4.4,15
Portugalia,2010,5.4,15
Romania,2010,3.2,15
Suedia,2010,14.6,15
Slovenia,2010,5.5,15
Slovacia,2010,2.6,15
Austria,2011,9.6,15
Belgia,2011,12.3,15
Bulgaria,2011,2.7,15
Cipru,2011,3.5,15
Cehia,2011,4,15
Germania,2011,8.2,15
Danemarca,2011,24.9,15
Estonia,2011,5.1,15
Grecia,2011,4.8,15
Spania,2011,7.2,16
Franta,2011,7.9,16
Ungaria,2011,4.8,16
Irlanda,2011,9.1,16
Islanda,2011,13.1,16
Italia,2011,11.1,16
Lituania,2011,3.5,16
Luxemburg,2011,8,16
Letonia,2011,5.8,16
Malta,2011,6.4,16
Olanda,2011,7.3,16
Norvegia,2011,9.7,16
Polonia,2011,4.4,16
Portugalia,2011,6,16
Romania,2011,3.2,16
Suedia,2011,14.1,16
Slovenia,2011,5.5,16
Slovacia,2011,2.8,16
Austria,2012,9.9,16
Belgia,2012,12.5,16
Bulgaria,2012,2.7,16
Cipru,2012,3.5,16
Cehia,2012,4,16
Germania,2012,8.7,16
Danemarca,2012,25.2,17
Estonia,2012,5.2,17
Grecia,2012,7,17
Spania,2012,7.5,17
Franta,2012,8.5,17
Ungaria,2012,5.2,17
Irlanda,2012,9.6,17
Islanda,2012,13.4,17
Italia,2012,11.8,17
Lituania,2012,3.5,17
Luxemburg,2012,7.9,17
Letonia,2012,5.7,17
Malta,2012,6.4,17
Olanda,2012,6.8,17
Norvegia,2012,9.7,17
Polonia,2012,4.5,17
Portugalia,2012,5.8,17
Romania,2012,3.3,17
Suedia,2012,14.5,17
Slovenia,2012,5.6,17
Slovacia,2012,2.9,17
Austria,2013,10.1,17
Belgia,2013,12.9,17
Bulgaria,2013,2.9,17
Cipru,2013,2.8,18
Cehia,2013,4.1,18
Germania,2013,9,18
Danemarca,2013,26,18
Estonia,2013,5.4,18
Grecia,2013,5.9,18
Spania,2013,7.6,18
Franta,2013,8.8,18
Ungaria,2013,4.9,18
Irlanda,2013,9.5,18
Islanda,2013,13.9,18
Italia,2013,11.9,18
Lituania,2013,3.6,18
Luxemburg,2013,8.3,18
Letonia,2013,5.8,18
Malta,2013,6.6,18
Olanda,2013,6.7,18
Norvegia,2013,9.9,18
Polonia,2013,4.5,18
Portugalia,2013,7.7,18
Romania,2013,3.4,18
Suedia,2013,14.7,18
Slovenia,2013,5.1,18
Slovacia,2013,2.9,18
Austria,2014,10.4,19
Belgia,2014,12.8,19
Bulgaria,2014,3.1,19
Cipru,2014,2.7,19
Cehia,2014,4.2,19
Germania,2014,8.9,19
Danemarca,2014,29,19
Estonia,2014,5.7,19
Grecia,2014,5.9,19
Spania,2014,7.7,19
Franta,2014,8.8,19
Ungaria,2014,4.9,19
Irlanda,2014,9.4,19
Islanda,2014,13.8,19
Italia,2014,11.9,19
Lituania,2014,3.6,19
Luxemburg,2014,8.4,19
Letonia,2014,5.9,19
Malta,2014,6.4,19
Olanda,2014,6.9,19
Norvegia,2014,9.8,19
Polonia,2014,4.6,19
Portugalia,2014,7.7,19
Romania,2014,3.5,19
Suedia,2014,14.7,20
Slovenia,2014,5,20
Slovacia,2014,3,20
Austria,2015,10.8,20
Belgia,2015,12.4,20
Bulgaria,2015,3.1,20
Cipru,2015,2.7,20
Cehia,2015,4,20
Germania,2015,9.1,20
Danemarca,2015,26.4,20
Estonia,2015,5.7,20
Grecia,2015,5.7,20
Spania,2015,7.4,20
Franta,2015,8.8,20
Ungaria,2015,4.9,20
Irlanda,2015,7.5,20
Islanda,2015,13.7,20
Italia,2015,12.1,20
Lituania,2015,3.9,20
Luxemburg,2015,8.7,20
Letonia,2015,5.9,20
Malta,2015,6,20
Olanda,2015,7.4,20
Norvegia,2015,10.7,20
Polonia,2015,4.7,21
Portugalia,2015,7.3,21
Romania,2015,3.7,21
Suedia,2015,14.9,21
Slovenia,2015,5.1,21
Slovacia,2015,3.1,21
Austria,2016,9.3,21
Belgia,2016,11.9,21
Bulgaria,2016,3.1,21
Cipru,2016,2.7,21
Cehia,2016,4.3,21
Germania,2016,9.2,21
Danemarca,2016,25.5,21
Estonia,2016,5.8,21
Grecia,2016,5.9,21
Spania,2016,7.3,21
Franta,2016,8.7,21
Ungaria,2016,4.8,21
Irlanda,2016,7.6,21
Islanda,2016,14.4,21
Italia,2016,11.8,21
Lituania,2016,4,21
Luxemburg,2016,8.9,21
Letonia,2016,6.3,21
Malta,2016,6.4,22
Olanda,2016,7.1,22
Norvegia,2016,10.7,22
Polonia,2016,4.9,22
Portugalia,2016,6.8,22
Romania,2016,3.7,22
Suedia,2016,15.6,22
Slovenia,2016,5.2,22
Slovacia,2016,3.3,22
Austria,2017,9.3,22
Belgia,2017,11.9,22
Bulgaria,2017,3.4,22
Cipru,2017,3.1,22
Cehia,2017,4.5,22
Germania,2017,9.5,22
Danemarca,2017,25.3,22
Estonia,2017,5.6,22
Grecia,2017,6.3,22
Spania,2017,7.5,22
Franta,2017,8.6,22
Ungaria,2017,5,22
Irlanda,2017,7.2,22
Islanda,2017,15.2,22
Italia,2017,11.7,22
Lituania,2017,3.9,23
Luxemburg,2017,8.7,23
Letonia,2017,6.6,23
Malta,2017,6.5,23
Olanda,2017,8.3,23
Norvegia,2017,10.2,23
Polonia,2017,5,23
Portugalia,2017,6.4,23
Romania,2017,3.6,23
Suedia,2017,15.6,23
Slovenia,2017,5.1,23
Slovacia,2017,3.4,23
Austria,2018,9.7,23
Belgia,2018,11.8,23
Bulgaria,2018,3.3,23
Cipru,2018,3.2,23
Cehia,2018,4.8,23
Germania,2018,9.7,23
Danemarca,2018,24.4,23
Estonia,2018,5.4,23
Grecia,2018,6.4,23
Spania,2018,7.7,23
Franta,2018,9.6,23
Ungaria,2018,5.1,23
Irlanda,2018,7,24
Islanda,2018,15.3,24
Italia,2018,11.6,24
Lituania,2018,4.1,24
Luxemburg,2018,9.3,24
Letonia,2018,6,24
Malta,2018,6.9,24
Olanda,2018,7.9,24
Norvegia,2018,9.9,24
Polonia,2018,5.3,24
Portugalia,2018,6.5,24
Romania,2018,2.4,24
Suedia,2018,15.2,24
Slovenia,2018,5.4,24
Slovacia,2018,3.6,24
Austria,2019,9.8,24
Belgia,2019,11.3,24
Bulgaria,2019,3.3,24
Cipru,2019,3.2,24
Cehia,2019,5,24
Germania,2019,9.8,24
Danemarca,2019,26.9,24
Estonia,2019,5.5,24
Grecia,2019,5.9,24
Spania,2019,8,25
Franta,2019,9.4,25
Ungaria,2019,5.1,25
Irlanda,2019,6.9,25
Islanda,2019,15.1,25
Italia,2019,11.8,25
Lituania,2019,7.2,25
Luxemburg,2019,9.5,25
Letonia,2019,6.4,25
Malta,2019,7,25
Olanda,2019,8.5,25
Norvegia,2019,10.3,25
Polonia,2019,5.3,25
Portugalia,2019,6.3,25
Romania,2019,2.3,25
Suedia,2019,14.5,25
Slovenia,2019,5.2,25
Slovacia,2019,3.7,25
Austria,2020,9.6,25
Belgia,2020,11.8,25
Bulgaria,2020,3.5,25
Cipru,2020,3.3,25
Cehia,2020,5.2,25
Germania,2020,9.6,25
Danemarca,2020,27.3,26
Estonia,2020,6,26
Grecia,2020,6.3,26
Spania,2020,8.9,26
Franta,2020,9.7,26
Ungaria,2020,5.3,26
Irlanda,2020,6.5,26
Islanda,2020,15.8,26
Italia,2020,12.5,26
Lituania,2020,7.1,26
Luxemburg,2020,9.7,26
Letonia,2020,6,26
Malta,2020,7.8,26
Olanda,2020,9.1,26
Norvegia,2020,11.3,26
Polonia,2020,5.3,26
Portugalia,2020,7,26
Romania,2020,2.4,26
Suedia,2020,14.7,26
Slovenia,2020,5.3,26
Slovacia,2020,3.7,26
Austria,2021,10,26
Belgia,2021,11.3,26
Bulgaria,2021,3.3,26
Cipru,2021,3.4,27
Cehia,2021,3.7,27
Germania,2021,9.6,27
Danemarca,2021,27.6,27
Estonia,2021,6.8,27
Grecia,2021,5.9,27
Spania,2021,8.8,27
Franta,2021,9.4,27
Ungaria,2021,4.1,27
Irlanda,2021,6.9,27
Islanda,2021,14.8,27
Italia,2021,12.5,27
Lituania,2021,7.6,27
Luxemburg,2021,10.1,27
Letonia,2021,6,27
Malta,2021,8.2,27
Olanda,2021,8.6,27
Norvegia,2021,10.8,27
Polonia,2021,5.4,27
Portugalia,2021,7,27
Romania,2021,2.4,27
Suedia,2021,14.6,27
Slovenia,2021,5.4,27
Slovacia,2021,3.7,27
