na_item,time,values,geo
Foreign economic aid,2021-01-01,0.3,Media UE
Foreign economic aid,2021-01-01,0.3,Finlanda
Foreign economic aid,2021-01-01,0.2,Franta
Foreign economic aid,2021-01-01,0,Croatia
Foreign economic aid,2021-01-01,0,Ungaria
Foreign economic aid,2021-01-01,0.1,Irlanda
Foreign economic aid,2021-01-01,0.3,Islanda
Foreign economic aid,2021-01-01,0.1,Italia
Foreign economic aid,2021-01-01,0,Lituania
Foreign economic aid,2021-01-01,0.5,Luxemburg
Foreign economic aid,2021-01-01,0,Letonia
Foreign economic aid,2021-01-01,0,Malta
Foreign economic aid,2021-01-01,0.4,Olanda
Foreign economic aid,2021-01-01,0.9,Norvegia
Foreign economic aid,2021-01-01,0,Polonia
Foreign economic aid,2021-01-01,0,Portugalia
Foreign economic aid,2021-01-01,0,Romania
Foreign economic aid,2021-01-01,0.8,Suedia
Foreign economic aid,2021-01-01,0,Slovenia
Foreign economic aid,2021-01-01,0,Slovacia
Basic research,2021-01-01,0.5,Austria
Basic research,2021-01-01,1.1,Belgia
Basic research,2021-01-01,0.3,Bulgaria
Basic research,2021-01-01,1.5,Elvetia
Basic research,2021-01-01,0.7,Cipru
Basic research,2021-01-01,0.7,Cehia
Basic research,2021-01-01,1.1,Germania
Basic research,2021-01-01,1.4,Danemarca
Basic research,2021-01-01,0.5,Estonia
Basic research,2021-01-01,0,Grecia
Basic research,2021-01-01,0.5,Spania
Basic research,2021-01-01,0.6,Media UE
Basic research,2021-01-01,0.9,Finlanda
Basic research,2021-01-01,0.3,Franta
Basic research,2021-01-01,0.1,Croatia
Basic research,2021-01-01,0.2,Ungaria
Basic research,2021-01-01,0.1,Irlanda
Basic research,2021-01-01,0.1,Islanda
Basic research,2021-01-01,0.5,Italia
Basic research,2021-01-01,0.4,Lituania
Basic research,2021-01-01,0.5,Luxemburg
Basic research,2021-01-01,0.4,Letonia
Basic research,2021-01-01,0,Malta
Basic research,2021-01-01,0.5,Olanda
Basic research,2021-01-01,0.5,Norvegia
Basic research,2021-01-01,0.1,Polonia
Basic research,2021-01-01,0.4,Portugalia
Basic research,2021-01-01,0,Romania
Basic research,2021-01-01,1.4,Suedia
Basic research,2021-01-01,0.5,Slovenia
Basic research,2021-01-01,0.4,Slovacia
R&D General public services,2021-01-01,0,Austria
R&D General public services,2021-01-01,0,Belgia
R&D General public services,2021-01-01,NA,Bulgaria
R&D General public services,2021-01-01,0,Elvetia
R&D General public services,2021-01-01,0,Cipru
R&D General public services,2021-01-01,0,Cehia
R&D General public services,2021-01-01,0,Germania
R&D General public services,2021-01-01,0,Danemarca
R&D General public services,2021-01-01,0,Estonia
R&D General public services,2021-01-01,0.4,Grecia
R&D General public services,2021-01-01,0,Spania
R&D General public services,2021-01-01,0,Media UE
R&D General public services,2021-01-01,0,Finlanda
R&D General public services,2021-01-01,0,Franta
R&D General public services,2021-01-01,0.2,Croatia
R&D General public services,2021-01-01,0,Ungaria
R&D General public services,2021-01-01,0,Irlanda
R&D General public services,2021-01-01,0,Islanda
R&D General public services,2021-01-01,0,Italia
R&D General public services,2021-01-01,NA,Lituania
R&D General public services,2021-01-01,0,Luxemburg
R&D General public services,2021-01-01,0,Letonia
R&D General public services,2021-01-01,0,Malta
R&D General public services,2021-01-01,0,Olanda
R&D General public services,2021-01-01,0.1,Norvegia
R&D General public services,2021-01-01,0,Polonia
R&D General public services,2021-01-01,0,Portugalia
R&D General public services,2021-01-01,0.2,Romania
R&D General public services,2021-01-01,0,Suedia
R&D General public services,2021-01-01,0,Slovenia
R&D General public services,2021-01-01,0,Slovacia
Public debt transactions,2021-01-01,1.2,Austria
Public debt transactions,2021-01-01,1.9,Belgia
Public debt transactions,2021-01-01,0.5,Bulgaria
Public debt transactions,2021-01-01,0.3,Elvetia
Public debt transactions,2021-01-01,1.8,Cipru
Public debt transactions,2021-01-01,0.8,Cehia
Public debt transactions,2021-01-01,0.6,Germania
Public debt transactions,2021-01-01,0.6,Danemarca
Public debt transactions,2021-01-01,0.1,Estonia
Public debt transactions,2021-01-01,2.8,Grecia
Public debt transactions,2021-01-01,2.2,Spania
Public debt transactions,2021-01-01,1.5,Media UE
Public debt transactions,2021-01-01,0.6,Finlanda
Public debt transactions,2021-01-01,1.5,Franta
Public debt transactions,2021-01-01,1.8,Croatia
Public debt transactions,2021-01-01,2.3,Ungaria
Public debt transactions,2021-01-01,0.8,Irlanda
Public debt transactions,2021-01-01,3.6,Islanda
Public debt transactions,2021-01-01,3.8,Italia
Public debt transactions,2021-01-01,0.6,Lituania
Public debt transactions,2021-01-01,0.3,Luxemburg
Public debt transactions,2021-01-01,0.6,Letonia
Public debt transactions,2021-01-01,1.2,Malta
Public debt transactions,2021-01-01,0.7,Olanda
Public debt transactions,2021-01-01,0.4,Norvegia
Public debt transactions,2021-01-01,1.2,Polonia
Public debt transactions,2021-01-01,2.5,Portugalia
Public debt transactions,2021-01-01,1.5,Romania
Public debt transactions,2021-01-01,0.3,Suedia
Public debt transactions,2021-01-01,1.3,Slovenia
Public debt transactions,2021-01-01,1.2,Slovacia
Transfers of a general character between different levels of government,2021-01-01,0,Austria
Transfers of a general character between different levels of government,2021-01-01,0,Belgia
Transfers of a general character between different levels of government,2021-01-01,NA,Bulgaria
Transfers of a general character between different levels of government,2021-01-01,0,Elvetia
Transfers of a general character between different levels of government,2021-01-01,0,Cipru
Transfers of a general character between different levels of government,2021-01-01,0,Cehia
Transfers of a general character between different levels of government,2021-01-01,0,Germania
Transfers of a general character between different levels of government,2021-01-01,0,Danemarca
Transfers of a general character between different levels of government,2021-01-01,0,Estonia
Transfers of a general character between different levels of government,2021-01-01,0,Grecia
Transfers of a general character between different levels of government,2021-01-01,0,Spania
Transfers of a general character between different levels of government,2021-01-01,0,Media UE
Transfers of a general character between different levels of government,2021-01-01,0,Finlanda
Transfers of a general character between different levels of government,2021-01-01,0,Franta
Transfers of a general character between different levels of government,2021-01-01,0,Croatia
Transfers of a general character between different levels of government,2021-01-01,0,Ungaria
Transfers of a general character between different levels of government,2021-01-01,0,Irlanda
Transfers of a general character between different levels of government,2021-01-01,0,Islanda
Transfers of a general character between different levels of government,2021-01-01,0,Italia
Transfers of a general character between different levels of government,2021-01-01,0,Lituania
Transfers of a general character between different levels of government,2021-01-01,0,Luxemburg
Transfers of a general character between different levels of government,2021-01-01,0,Letonia
Transfers of a general character between different levels of government,2021-01-01,0,Malta
Transfers of a general character between different levels of government,2021-01-01,0,Olanda
Transfers of a general character between different levels of government,2021-01-01,0,Norvegia
Transfers of a general character between different levels of government,2021-01-01,0,Polonia
Transfers of a general character between different levels of government,2021-01-01,NA,Portugalia
Transfers of a general character between different levels of government,2021-01-01,0,Romania
Transfers of a general character between different levels of government,2021-01-01,0,Suedia
Transfers of a general character between different levels of government,2021-01-01,0,Slovenia
Transfers of a general character between different levels of government,2021-01-01,0,Slovacia
Defence,2021-01-01,0.6,Austria
Defence,2021-01-01,0.9,Belgia
Defence,2021-01-01,1.6,Bulgaria
Defence,2021-01-01,0.8,Elvetia
Defence,2021-01-01,1.8,Cipru
Defence,2021-01-01,1,Cehia
Defence,2021-01-01,1.1,Germania
Defence,2021-01-01,1.2,Danemarca
Defence,2021-01-01,2,Estonia
Defence,2021-01-01,2.8,Grecia
Defence,2021-01-01,1,Spania
Defence,2021-01-01,1.3,Media UE
Defence,2021-01-01,1.2,Finlanda
Defence,2021-01-01,1.8,Franta
Defence,2021-01-01,1,Croatia
Defence,2021-01-01,1.1,Ungaria
Defence,2021-01-01,0.2,Irlanda
Defence,2021-01-01,0.1,Islanda
Defence,2021-01-01,1.4,Italia
Defence,2021-01-01,1.8,Lituania
Defence,2021-01-01,0.4,Luxemburg
Defence,2021-01-01,2.3,Letonia
Defence,2021-01-01,0.6,Malta
Defence,2021-01-01,1.3,Olanda
Defence,2021-01-01,1.7,Norvegia
Defence,2021-01-01,1.6,Polonia
Defence,2021-01-01,0.8,Portugalia
Defence,2021-01-01,1.9,Romania
Defence,2021-01-01,1.3,Suedia
Defence,2021-01-01,1.2,Slovenia
Defence,2021-01-01,1.3,Slovacia
Military defence,2021-01-01,0.6,Austria
Military defence,2021-01-01,0.9,Belgia
Military defence,2021-01-01,1.5,Bulgaria
Military defence,2021-01-01,0.7,Elvetia
Military defence,2021-01-01,1.7,Cipru
Military defence,2021-01-01,0.9,Cehia
Military defence,2021-01-01,1,Germania
Military defence,2021-01-01,1.2,Danemarca
Military defence,2021-01-01,2,Estonia
Military defence,2021-01-01,2.8,Grecia
Military defence,2021-01-01,0.8,Spania
Military defence,2021-01-01,1.1,Media UE
Military defence,2021-01-01,1.1,Finlanda
Military defence,2021-01-01,1.5,Franta
Military defence,2021-01-01,1,Croatia
Military defence,2021-01-01,1.1,Ungaria
Military defence,2021-01-01,0.2,Irlanda
Military defence,2021-01-01,0,Islanda
Military defence,2021-01-01,1.3,Italia
Military defence,2021-01-01,1.5,Lituania
Military defence,2021-01-01,0.4,Luxemburg
Military defence,2021-01-01,2.3,Letonia
Military defence,2021-01-01,0.6,Malta
Military defence,2021-01-01,1.2,Olanda
Military defence,2021-01-01,1.6,Norvegia
Military defence,2021-01-01,1.6,Polonia
Military defence,2021-01-01,0.7,Portugalia
Military defence,2021-01-01,1.9,Romania
Military defence,2021-01-01,1.1,Suedia
Military defence,2021-01-01,0.9,Slovenia
Military defence,2021-01-01,1.2,Slovacia
Civil defence,2021-01-01,0,Austria
Civil defence,2021-01-01,0,Belgia
Civil defence,2021-01-01,0.1,Bulgaria
Civil defence,2021-01-01,0.1,Elvetia
Civil defence,2021-01-01,0,Cipru
Civil defence,2021-01-01,0,Cehia
Civil defence,2021-01-01,0,Germania
Civil defence,2021-01-01,0,Danemarca
Civil defence,2021-01-01,0,Estonia
Civil defence,2021-01-01,0,Grecia
Civil defence,2021-01-01,0,Spania
Civil defence,2021-01-01,0,Media UE
Civil defence,2021-01-01,0.1,Finlanda
Civil defence,2021-01-01,0,Franta
Civil defence,2021-01-01,0,Croatia
Civil defence,2021-01-01,0,Ungaria
Civil defence,2021-01-01,0,Irlanda
Civil defence,2021-01-01,0.1,Islanda
Civil defence,2021-01-01,0,Italia
Civil defence,2021-01-01,0,Lituania
Civil defence,2021-01-01,0,Luxemburg
Civil defence,2021-01-01,0,Letonia
Civil defence,2021-01-01,0,Malta
Civil defence,2021-01-01,0,Olanda
Civil defence,2021-01-01,0,Norvegia
Civil defence,2021-01-01,0,Polonia
Civil defence,2021-01-01,NA,Portugalia
Civil defence,2021-01-01,0,Romania
Civil defence,2021-01-01,0.1,Suedia
Civil defence,2021-01-01,0.1,Slovenia
Civil defence,2021-01-01,0,Slovacia
Foreign military aid,2021-01-01,0,Austria
Foreign military aid,2021-01-01,0,Belgia
Foreign military aid,2021-01-01,0,Bulgaria
Foreign military aid,2021-01-01,0,Elvetia
Foreign military aid,2021-01-01,0.1,Cipru
Foreign military aid,2021-01-01,0,Cehia
Foreign military aid,2021-01-01,0.1,Germania
Foreign military aid,2021-01-01,0,Danemarca
Foreign military aid,2021-01-01,0,Estonia
Foreign military aid,2021-01-01,0,Grecia
Foreign military aid,2021-01-01,0.1,Spania
Foreign military aid,2021-01-01,0.1,Media UE
Foreign military aid,2021-01-01,0,Finlanda
Foreign military aid,2021-01-01,0.1,Franta
Foreign military aid,2021-01-01,0,Croatia
Foreign military aid,2021-01-01,0,Ungaria
Foreign military aid,2021-01-01,0,Irlanda
Foreign military aid,2021-01-01,0,Islanda
Foreign military aid,2021-01-01,0.1,Italia
Foreign military aid,2021-01-01,0,Lituania
Foreign military aid,2021-01-01,0.1,Luxemburg
Foreign military aid,2021-01-01,0,Letonia
Foreign military aid,2021-01-01,0,Malta
Foreign military aid,2021-01-01,0,Olanda
Foreign military aid,2021-01-01,0,Norvegia
Foreign military aid,2021-01-01,0,Polonia
Foreign military aid,2021-01-01,0,Portugalia
Foreign military aid,2021-01-01,0,Romania
Foreign military aid,2021-01-01,0.1,Suedia
Foreign military aid,2021-01-01,0,Slovenia
Foreign military aid,2021-01-01,0,Slovacia
R&D Defence,2021-01-01,0,Austria
R&D Defence,2021-01-01,0,Belgia
R&D Defence,2021-01-01,NA,Bulgaria
R&D Defence,2021-01-01,0,Elvetia
R&D Defence,2021-01-01,0,Cipru
R&D Defence,2021-01-01,0,Cehia
R&D Defence,2021-01-01,0,Germania
R&D Defence,2021-01-01,0,Danemarca
R&D Defence,2021-01-01,0,Estonia
R&D Defence,2021-01-01,0,Grecia
R&D Defence,2021-01-01,0,Spania
R&D Defence,2021-01-01,0,Media UE
R&D Defence,2021-01-01,0,Finlanda
R&D Defence,2021-01-01,0.1,Franta
R&D Defence,2021-01-01,0,Croatia
R&D Defence,2021-01-01,0,Ungaria
R&D Defence,2021-01-01,0,Irlanda
R&D Defence,2021-01-01,0,Islanda
R&D Defence,2021-01-01,0,Italia
R&D Defence,2021-01-01,0,Lituania
R&D Defence,2021-01-01,0,Luxemburg
R&D Defence,2021-01-01,0,Letonia
R&D Defence,2021-01-01,0,Malta
R&D Defence,2021-01-01,0,Olanda
R&D Defence,2021-01-01,0,Norvegia
R&D Defence,2021-01-01,0,Polonia
R&D Defence,2021-01-01,0,Portugalia
R&D Defence,2021-01-01,0,Romania
R&D Defence,2021-01-01,0,Suedia
R&D Defence,2021-01-01,0,Slovenia
R&D Defence,2021-01-01,0,Slovacia
Defence n.e.c.,2021-01-01,0,Austria
Defence n.e.c.,2021-01-01,0,Belgia
Defence n.e.c.,2021-01-01,0,Bulgaria
Defence n.e.c.,2021-01-01,0,Elvetia
Defence n.e.c.,2021-01-01,0,Cipru
Defence n.e.c.,2021-01-01,0.1,Cehia
Defence n.e.c.,2021-01-01,0,Germania
Defence n.e.c.,2021-01-01,0,Danemarca
Defence n.e.c.,2021-01-01,0,Estonia
Defence n.e.c.,2021-01-01,0,Grecia
Defence n.e.c.,2021-01-01,0,Spania
Defence n.e.c.,2021-01-01,0,Media UE
Defence n.e.c.,2021-01-01,0,Finlanda
Defence n.e.c.,2021-01-01,0.1,Franta
Defence n.e.c.,2021-01-01,0,Croatia
Defence n.e.c.,2021-01-01,0,Ungaria
Defence n.e.c.,2021-01-01,0,Irlanda
Defence n.e.c.,2021-01-01,0,Islanda
Defence n.e.c.,2021-01-01,0,Italia
Defence n.e.c.,2021-01-01,0.3,Lituania
Defence n.e.c.,2021-01-01,0,Luxemburg
Defence n.e.c.,2021-01-01,0,Letonia
Defence n.e.c.,2021-01-01,0,Malta
Defence n.e.c.,2021-01-01,0,Olanda
Defence n.e.c.,2021-01-01,0,Norvegia
Defence n.e.c.,2021-01-01,0,Polonia
Defence n.e.c.,2021-01-01,0,Portugalia
Defence n.e.c.,2021-01-01,0,Romania
Defence n.e.c.,2021-01-01,0,Suedia
Defence n.e.c.,2021-01-01,0.1,Slovenia
Defence n.e.c.,2021-01-01,0.1,Slovacia
Public order and safety,2021-01-01,1.4,Austria
Public order and safety,2021-01-01,1.8,Belgia
Public order and safety,2021-01-01,2.7,Bulgaria
Public order and safety,2021-01-01,1.7,Elvetia
Public order and safety,2021-01-01,1.7,Cipru
Public order and safety,2021-01-01,2,Cehia
Public order and safety,2021-01-01,1.7,Germania
Public order and safety,2021-01-01,1,Danemarca
Public order and safety,2021-01-01,1.8,Estonia
Public order and safety,2021-01-01,2.2,Grecia
Public order and safety,2021-01-01,2,Spania
Public order and safety,2021-01-01,1.7,Media UE
Public order and safety,2021-01-01,1.2,Finlanda
Public order and safety,2021-01-01,1.7,Franta
Public order and safety,2021-01-01,2.4,Croatia
Public order and safety,2021-01-01,1.8,Ungaria
Public order and safety,2021-01-01,0.8,Irlanda
Public order and safety,2021-01-01,1.6,Islanda
Public order and safety,2021-01-01,1.9,Italia
Public order and safety,2021-01-01,1.3,Lituania
Public order and safety,2021-01-01,1.2,Luxemburg
Public order and safety,2021-01-01,2.2,Letonia
Public order and safety,2021-01-01,1.5,Malta
Public order and safety,2021-01-01,2,Olanda
Public order and safety,2021-01-01,1.1,Norvegia
Public order and safety,2021-01-01,2.2,Polonia
Public order and safety,2021-01-01,1.8,Portugalia
Public order and safety,2021-01-01,2.3,Romania
Public order and safety,2021-01-01,1.3,Suedia
Public order and safety,2021-01-01,1.8,Slovenia
Public order and safety,2021-01-01,2.3,Slovacia
Police services,2021-01-01,0.7,Austria
Police services,2021-01-01,1,Belgia
Police services,2021-01-01,1.3,Bulgaria
Police services,2021-01-01,0.7,Elvetia
Police services,2021-01-01,1.3,Cipru
Police services,2021-01-01,1,Cehia
Police services,2021-01-01,0.8,Germania
Police services,2021-01-01,0.6,Danemarca
Police services,2021-01-01,1,Estonia
Police services,2021-01-01,1.4,Grecia
Police services,2021-01-01,1.3,Spania
Police services,2021-01-01,0.9,Media UE
Police services,2021-01-01,0.5,Finlanda
Police services,2021-01-01,0.9,Franta
Police services,2021-01-01,1.4,Croatia
Police services,2021-01-01,1.1,Ungaria
Police services,2021-01-01,0.5,Irlanda
Police services,2021-01-01,1,Islanda
Police services,2021-01-01,1.1,Italia
Police services,2021-01-01,0.4,Lituania
Police services,2021-01-01,0.5,Luxemburg
Police services,2021-01-01,1.1,Letonia
Police services,2021-01-01,0.8,Malta
Police services,2021-01-01,0.9,Olanda
Police services,2021-01-01,0.5,Norvegia
Police services,2021-01-01,1.1,Polonia
Police services,2021-01-01,1,Portugalia
Police services,2021-01-01,1.2,Romania
Police services,2021-01-01,0.7,Suedia
Police services,2021-01-01,0.9,Slovenia
Police services,2021-01-01,1,Slovacia
Fire-protection services,2021-01-01,0.2,Austria
Fire-protection services,2021-01-01,0.2,Belgia
Fire-protection services,2021-01-01,0.2,Bulgaria
Fire-protection services,2021-01-01,0.1,Elvetia
Fire-protection services,2021-01-01,0.1,Cipru
Fire-protection services,2021-01-01,0.3,Cehia
Fire-protection services,2021-01-01,0.3,Germania
Fire-protection services,2021-01-01,0.1,Danemarca
Fire-protection services,2021-01-01,0.2,Estonia
Fire-protection services,2021-01-01,0.3,Grecia
Fire-protection services,2021-01-01,0.2,Spania
Fire-protection services,2021-01-01,0.2,Media UE
Fire-protection services,2021-01-01,0.3,Finlanda
Fire-protection services,2021-01-01,0.3,Franta
Fire-protection services,2021-01-01,0.3,Croatia
Fire-protection services,2021-01-01,0.2,Ungaria
Fire-protection services,2021-01-01,0.1,Irlanda
Fire-protection services,2021-01-01,0.1,Islanda
Fire-protection services,2021-01-01,0.2,Italia
Fire-protection services,2021-01-01,0.2,Lituania
Fire-protection services,2021-01-01,0.3,Luxemburg
Fire-protection services,2021-01-01,0.2,Letonia
Fire-protection services,2021-01-01,0.1,Malta
Fire-protection services,2021-01-01,0.2,Olanda
Fire-protection services,2021-01-01,0.3,Norvegia
Fire-protection services,2021-01-01,0.2,Polonia
Fire-protection services,2021-01-01,0.2,Portugalia
Fire-protection services,2021-01-01,0.3,Romania
Fire-protection services,2021-01-01,0.2,Suedia
Fire-protection services,2021-01-01,0.1,Slovenia
Fire-protection services,2021-01-01,0.2,Slovacia
Law courts,2021-01-01,0.3,Austria
Law courts,2021-01-01,0.3,Belgia
Law courts,2021-01-01,0.7,Bulgaria
Law courts,2021-01-01,0.3,Elvetia
Law courts,2021-01-01,0.1,Cipru
Law courts,2021-01-01,0.3,Cehia
Law courts,2021-01-01,0.4,Germania
Law courts,2021-01-01,0.2,Danemarca
Law courts,2021-01-01,0.3,Estonia
Law courts,2021-01-01,0.4,Grecia
Law courts,2021-01-01,0.4,Spania
Law courts,2021-01-01,0.3,Media UE
Law courts,2021-01-01,0.2,Finlanda
Law courts,2021-01-01,0.3,Franta
Law courts,2021-01-01,0.5,Croatia
Law courts,2021-01-01,0.4,Ungaria
Law courts,2021-01-01,0.2,Irlanda
Law courts,2021-01-01,0.2,Islanda
Law courts,2021-01-01,0.3,Italia
Law courts,2021-01-01,0.2,Lituania
Law courts,2021-01-01,0.2,Luxemburg
Law courts,2021-01-01,0.5,Letonia
Law courts,2021-01-01,0.4,Malta
Law courts,2021-01-01,0.3,Olanda
Law courts,2021-01-01,0.1,Norvegia
Law courts,2021-01-01,0.5,Polonia
Law courts,2021-01-01,0.3,Portugalia
Law courts,2021-01-01,0.4,Romania
Law courts,2021-01-01,0.3,Suedia
Law courts,2021-01-01,0.5,Slovenia
Law courts,2021-01-01,0.3,Slovacia
Prisons,2021-01-01,0.1,Austria
Prisons,2021-01-01,0.1,Belgia
Prisons,2021-01-01,0.2,Bulgaria
Prisons,2021-01-01,0.2,Elvetia
Prisons,2021-01-01,0.1,Cipru
Prisons,2021-01-01,0.2,Cehia
Prisons,2021-01-01,0.1,Germania
Prisons,2021-01-01,0.2,Danemarca
Prisons,2021-01-01,0.1,Estonia
Prisons,2021-01-01,0.1,Grecia
Prisons,2021-01-01,0.2,Spania
Prisons,2021-01-01,0.2,Media UE
Prisons,2021-01-01,0.1,Finlanda
Prisons,2021-01-01,0.2,Franta
Prisons,2021-01-01,0.1,Croatia
Prisons,2021-01-01,0.2,Ungaria
Prisons,2021-01-01,0,Irlanda
Prisons,2021-01-01,0.1,Islanda
Prisons,2021-01-01,0.2,Italia
Prisons,2021-01-01,0.2,Lituania
Prisons,2021-01-01,0.2,Luxemburg
Prisons,2021-01-01,0.2,Letonia
Prisons,2021-01-01,0.2,Malta
Prisons,2021-01-01,0.4,Olanda
Prisons,2021-01-01,0.1,Norvegia
Prisons,2021-01-01,0.2,Polonia
Prisons,2021-01-01,0.1,Portugalia
Prisons,2021-01-01,0.1,Romania
Prisons,2021-01-01,0.2,Suedia
Prisons,2021-01-01,0.1,Slovenia
Prisons,2021-01-01,0.2,Slovacia
R&D Public order and safety,2021-01-01,0,Austria
R&D Public order and safety,2021-01-01,0,Belgia
R&D Public order and safety,2021-01-01,0,Bulgaria
R&D Public order and safety,2021-01-01,0,Elvetia
R&D Public order and safety,2021-01-01,0,Cipru
R&D Public order and safety,2021-01-01,0,Cehia
R&D Public order and safety,2021-01-01,0,Germania
R&D Public order and safety,2021-01-01,0,Danemarca
R&D Public order and safety,2021-01-01,0,Estonia
R&D Public order and safety,2021-01-01,0,Grecia
R&D Public order and safety,2021-01-01,0,Spania
R&D Public order and safety,2021-01-01,0,Media UE
R&D Public order and safety,2021-01-01,0,Finlanda
R&D Public order and safety,2021-01-01,0,Franta
R&D Public order and safety,2021-01-01,0,Croatia
R&D Public order and safety,2021-01-01,0,Ungaria
R&D Public order and safety,2021-01-01,0,Irlanda
R&D Public order and safety,2021-01-01,0,Islanda
R&D Public order and safety,2021-01-01,0,Italia
R&D Public order and safety,2021-01-01,0,Lituania
R&D Public order and safety,2021-01-01,0,Luxemburg
R&D Public order and safety,2021-01-01,0,Letonia
R&D Public order and safety,2021-01-01,0,Malta
R&D Public order and safety,2021-01-01,0,Olanda
R&D Public order and safety,2021-01-01,0,Norvegia
R&D Public order and safety,2021-01-01,0,Polonia
R&D Public order and safety,2021-01-01,0,Portugalia
R&D Public order and safety,2021-01-01,0,Romania
R&D Public order and safety,2021-01-01,0,Suedia
R&D Public order and safety,2021-01-01,0,Slovenia
R&D Public order and safety,2021-01-01,0,Slovacia
Public order and safety n.e.c.,2021-01-01,0.1,Austria
Public order and safety n.e.c.,2021-01-01,0.1,Belgia
Public order and safety n.e.c.,2021-01-01,0.2,Bulgaria
Public order and safety n.e.c.,2021-01-01,0.4,Elvetia
Public order and safety n.e.c.,2021-01-01,0,Cipru
Public order and safety n.e.c.,2021-01-01,0.2,Cehia
Public order and safety n.e.c.,2021-01-01,0.1,Germania
Public order and safety n.e.c.,2021-01-01,0,Danemarca
Public order and safety n.e.c.,2021-01-01,0.2,Estonia
Public order and safety n.e.c.,2021-01-01,0,Grecia
Public order and safety n.e.c.,2021-01-01,0,Spania
Public order and safety n.e.c.,2021-01-01,0.1,Media UE
Public order and safety n.e.c.,2021-01-01,0,Finlanda
Public order and safety n.e.c.,2021-01-01,0.1,Franta
Public order and safety n.e.c.,2021-01-01,0.1,Croatia
Public order and safety n.e.c.,2021-01-01,0,Ungaria
Public order and safety n.e.c.,2021-01-01,0,Irlanda
Public order and safety n.e.c.,2021-01-01,0.3,Islanda
Public order and safety n.e.c.,2021-01-01,0,Italia
Public order and safety n.e.c.,2021-01-01,0.2,Lituania
Public order and safety n.e.c.,2021-01-01,0,Luxemburg
Public order and safety n.e.c.,2021-01-01,0.3,Letonia
Public order and safety n.e.c.,2021-01-01,0,Malta
Public order and safety n.e.c.,2021-01-01,0.2,Olanda
Public order and safety n.e.c.,2021-01-01,0,Norvegia
Public order and safety n.e.c.,2021-01-01,0.1,Polonia
