cod,taxa,functie,year,value
D214L,"Cota asupra pretului cu ridicata exclusiv accizele pt. carburantii auto 
livrati la intern de producatori si a valorii in vama pt carburanti auto importati",C,1995,NA
D29,Alte impozite pe productie,_Z,1995,47.6
D29A,"Impozite pe proprietate sau utilizare terenuri,cladiri,constructii",_Z,1995,22
D29A,Impozit si taxa pe cladiri de la  persoane juridice,KS,1995,22
D29A,Impozit si taxa pe teren de la persoane  juridice,KS,1995,NA
D29A,Sume fixe anuale platite pt. utilizarea drumurilor publice,KS,1995,NA
D29A,Impozit pe constructii,KS,1995,NA
D29B,Impozite pe utilizarea activelor fixe,_Z,1995,23.9
D29B,Impozit pe mijloace de transport  detinute persoane de juridice*),KS,1995,NA
D29B,Taxe asupra tranzactiilor cu valori mobiliare,KS,1995,23.9
D29B,"Alte taxe pe utilizarea bunurilor, autorizarea utilizarii bunurilor sau pe desfasurare de activitati",KS,1995,NA
D29C,Fondul de salarii și impozitele pe salarii,_Z,1995,NA
D29D,Impozite pe tranzactiile internationale,_Z,1995,NA
D29D,Venituri cu destinatie speciala din comisionul pentru servicii vamale,C,1995,NA
D29D,Alte taxe pe tranzactii si comert international,C,1995,NA
D29E,Impozite pe autorizatiile de  exercitare a activitatilor comerciale sau profesionale,_Z,1995,NA
D29E,Taxe si tarife pentru eliberarea de licente si autorizatii de functionare,KS,1995,NA
D29E,"Taxe pentru autorizarea vânzările de alcool, băuturi alcoolice, _x000D_
produse din tutun si cafea",KS,1995,NA
D29F,Impozite pe emisiile poluante,_Z,1995,0.1
D29F,Taxe si alte venituri din protectia mediului,C,1995,0.1
D29F,"Venituri din vanzarea certificatelor de emisii de gaze cu efect de sera,",C,1995,NA
D29G,Sub-compensare a TVA-ului (sistem forfetar),_Z,1995,NA
D29H,Alte impozite pe productie,_Z,1995,1.6
D29H,"Taxe pe activitatea de prospectiune, explorare si exploatare a resurselor minerale",KS,1995,NA
D29H,Taxa asupra unor activitati daunatoare sanatatii si din publicitatea lor,KS,1995,1.6
D29H,Venituri cu destinatie speciala din cotele aplicate asupra venitur realizate in domeniul aviatiei civile,KS,1995,NA
D29H,Contributii in sectorul zaharului,KS,1995,NA
D29H,Contributii la fondul temporar pentru restructurarea industriei zaharului in Comunitatea Europeana,KS,1995,NA
D29H,Contributia la fondul national de rezolutie,KS,1995,NA
D29H,Taxa pe active fixe bancare,KS,1995,NA
D29H,Contributia la Fondul de garantare a depozitelor bancare,KS,1995,NA
D5,"Impozitele curente pe patrimoniul de venit, etc",_Z,1995,809.5
D51,Impozit pe venit,_Z,1995,809.5
D51M,"Impozite pe venitul individual sau de uz casnic, inclusiv câștigurile din exploatare",_Z,1995,520.1
D51M,Impozit pe venituri din activitati independente,SPLIT1,1995,NA
D51M,Impozit pe venituri din cedarea folosintei bunurilor,SPLIT1,1995,NA
D51M,Impozit pe venituri din dividende,SPLIT1,1995,NA
D51M,Impozit pe venituri din dobanzi,SPLIT1,1995,NA
D51M,Impozit pe alte venituri,SPLIT1,1995,NA
D51M,Impozit pe venituri din pensii,SPLIT1,1995,NA
D51M,Impozit pe venituri din transferul titlurilor de valoare,SPLIT1,1995,NA
D51M,Impozit pe venituri din valorificarea drepturilor de proprietate intelectuala,SPLIT1,1995,NA
D51M,Impozit pe venituri realizate de persoa- nele fizice nerezidente,SPLIT1,1995,NA
D51M,Impozitul pe onorariul avocatilor si notarilor publici,SPLIT1,1995,NA
D51M,"Impozit pe veniturile liber profesionistilor, meseriasilor si a altor persoane fizice independente si asociatiilor familiare",SPLIT1,1995,120.4
D51M,"Impozit pe venituri din inchirieri, subinchirieri, locatii de gestiune si arendari",SPLIT1,1995,NA
D51M,"Impozit pe venituri obtinute din drepturi de autor si cele cuvenite
 inventatorilor si inovatorilor",SPLIT1,1995,NA
D51M,Impozitul pe veniturile obtinute din premii si castiguri in bani sau natura,SPLIT1,1995,NA
D51M,Impozit pe venituri realizate de persoanele fizice nesalariate,SPLIT1,1995,NA
D51M,"Alte impozite pe venit, profit si cistiguri din capital",SPLIT1,1995,55.9
D51M,Impozit pe venit din salarii,SPLIT1,1995,337.9
D51M,Impozit pe venituri din activitati agricole,SPLIT1,1995,5.9
D51M,Impozitul specific,SPLIT1,1995,NA
D51M,Impozitul pe veniturile din activitati independente realizate in baza contractelor de activitate sportiva,SPLIT1,1995,NA
D51M,Impozit pe venit aferent declaratiei unice,SPLIT1,1995,NA
D51A,Impozite pe venitul persoanelor fizice sau al gospodariilor populatiei exclusiv castiguri din detinere,_Z,1995,520.1
D51A,Impozit pe venituri din activitati independente,SPLIT1,1995,NA
D51A,Impozit pe venituri din cedarea folosintei bunurilor,SPLIT1,1995,NA
D51A,Impozit pe venituri din dividende,SPLIT1,1995,NA
D51A,Impozit pe venituri din dobanzi,SPLIT1,1995,NA
D51A,Impozit pe alte venituri,SPLIT1,1995,NA
D51A,Impozit pe venituri din pensii,SPLIT1,1995,NA
D51A,Impozit pe venituri din transferul titlurilor de valoare,SPLIT1,1995,NA
D51A,Impozit pe venituri din valorificarea drepturilor de proprietate intelectuala,SPLIT1,1995,NA
D51A,Impozit pe venituri realizate de persoanele fizice nerezidente,SPLIT1,1995,NA
D51A,Impozitul pe onorariul avocatilor si notarilor publici,SPLIT1,1995,NA
D51A,"Impozit pe veniturile liber profesionistilor, meseriasilor si a altor persoane fizice independente si asociatiilor familiare",SPLIT1,1995,120.4
D51A,"Impozit pe venituri din inchirieri, subinchirieri, locatii de gestiune si arendari",SPLIT1,1995,NA
D51A,"Impozit pe venituri obtinute din drepturi de autor si cele cuvenite
 inventatorilor si inovatorilor",SPLIT1,1995,NA
D51A,Impozitul pe veniturile obtinute din premii si castiguri in bani sau natura,SPLIT1,1995,NA
D51A,Impozit pe venituri realizate de persoanele fizice nesalariate,SPLIT1,1995,NA
D51A,"Alte impozite pe venit, profit si cistiguri din capital",SPLIT1,1995,55.9
D51A,Impozit pe venit din salarii,SPLIT1,1995,337.9
D51A,Impozit pe venituri din activitati agricole,SPLIT1,1995,5.9
D51A,Impozitul specific,SPLIT1,1995,NA
D51A,Impozitul pe veniturile din activitati independente realizate in baza contractelor de activitate sportiva,SPLIT1,1995,NA
D51A,Impozit pe venit aferent declaratiei unice,SPLIT1,1995,NA
D51C1,Impozite pe castigurile de detinere(1),_Z,1995,NA
D51O,Impozite pe venitul sau beneficiile societatilor inclusiv castigurile din detinere,_Z,1995,289.4
D51O,Impozit pe profit de la agentii economici,KIC,1995,281.1
D51O,Impozit pe profit de la bancile comerciale,KIC,1995,NA
D51O,Impozit pe veniturile realizate de persoanele juridice nerezidente,KIC,1995,NA
D51O,Impozitul pe profit obtinut din activitati comerciale ilicite sau din nerespectarea Legii privind protectia consumatorului,KIC,1995,NA
D51O,Impozit pe dividende datorat de persoane juridice,KIC,1995,NA
D51O,"Impozit pe profitul realizat de persoana fizica dintr-o asociere cu o persoana juridica, care nu genereaza o persoana juridica",KIC,1995,NA
D51O,Impozit pe venitul microintreprinderilor,KIC,1995,NA
D51O,Impozit pe veniturile microintreprinderilor realizate de persoana fizica dintr-o asociere cu o persoana jurudica care nu genereaza o persoana juridica,KIC,1995,NA
D51O,Impozitul pe venitul reprezentantelor din Romania ale societatilor comerciale straine,KIC,1995,NA
D51O,"Sume incasate pentru bugetul de stat in contul unic,in curs de distribuire",KIC,1995,NA
D51O,"Impozit pe venituri din operatiuni de vanzare-cumparare de valuta la termen, pe baza de contract, precum si orice alte operatiuni similare",KIC,1995,NA
D51O,Varsaminte din profitul net al regiilor autonome,KIC,1995,NA
D51O,Contributii ale agentilor economici pt invatamantul de stat,KIC,1995,NA
D51O,Varsaminte din veniturile nete ale Bancii Nationale a Romaniei,KIC,1995,NA
D51O,Impozite pe veniturile din exploatarea unor resurse naturale,KIC,1995,NA
D51O,"Impozit pe venitul din concesionarea bunurilor societatilor comerciale  sau companiilor nationale la care statul este actionar mAIoritar 
          precum si societatilor autonome",KIC,1995,8.3
D51B,Impozite pe venitul sau beneficiile societatilor exclusiv castigurile din detinere,_Z,1995,289.4
D51B,Impozit pe profit de la agentii economici,KIC,1995,281.1
D51B,Impozit pe profit de la bancile comerciale,KIC,1995,NA
D51B,Impozit pe veniturile realizate de persoanele juridice nerezidente,KIC,1995,NA
D51B,Impozitul pe profit obtinut din activitati comerciale ilicite sau din nerespectarea Legii privind protectia consumatorului,KIC,1995,NA
D51B,Impozit pe dividende datorat de persoane juridice,KIC,1995,NA
D51B,"Impozit pe profitul realizat de persoana fizica dintr-o asociere cu o persoana juridica, care nu genereaza o persoana juridica",KIC,1995,NA
D51B,Impozit pe venitul microintreprinderilor,KIC,1995,NA
D51B,"Impozit pe veniturile microintreprinderilor realizate de persoana fizica dintr-o
 asociere cu o persoana jurudica care nu genereaza o persoana juridica",KIC,1995,NA
D51B,Impozitul pe venitul reprezentantelor din Romania ale societatilor comerciale straine,KIC,1995,NA
D51B,"Sume incasate pentru bugetul de stat in contul unic,in curs de distribuire",KIC,1995,NA
D51B,"Impozit pe venituri din operatiuni de vanzare-cumparare de valuta la termen, pe baza de contract, precum si orice alte operatiuni similare",KIC,1995,NA
D51B,Varsaminte din profitul net al regiilor autonome,KIC,1995,NA
D51B,Contributii ale agentilor economici pt invatamantul de stat,KIC,1995,NA
D51B,Varsaminte din veniturile nete ale Bancii Nationale a Romaniei,KIC,1995,NA
D51B,Impozite pe veniturile din exploatarea unor resurse naturale,KIC,1995,NA
D51B,Impozit pe venitul din concesionarea bunurilor societatilor comerciale  sau companiilor nationale la care statul este actionar majoritar  precum si societatilor autonome,KIC,1995,8.3
D51C2,Impozite pe câștigurile din exploatare ale societăților (1),_Z,1995,NA
D51C3,Alte impozite pe câștigurile exploatație (1),_Z,1995,NA
D51C,Impozite pe castigurile de detinere,_Z,1995,NA
D51D,Taxe asupra castigurilor de la loterii si pariuri,_Z,1995,NA
D51D,"Impozit pe veniturile obtinute din jocurile de noroc, din premii si din prime in bani si/sau natura",KIH,1995,NA
D51D,Taxe pentru jocurile de noroc,KIH,1995,NA
D51E,Alte impozite pe venit,_Z,1995,NA
D51E,"Impozit pe venituri obtinute din valorificarea de bunuri in regim de consignatie si din activitati desfasurate pe baza unui contract de agent, comision sau mandat comercial",KIH,1995,NA
D59,Alte impozite curente,_Z,1995,0
D59A,Impozite curente pe capital,_Z,1995,0
D59A,Impozit pe terenul din extravilan,KS,1995,0
D59A,Impozit pe cladiri de la persoane  fizice,KS,1995,NA
D59A,Impozit pe terenuri de la persoane  fizice,KS,1995,NA
D59B,Taxe sondaj,_Z,1995,NA
D59C,Impozitele pe cheltuieli,_Z,1995,NA
D59D,Plățile efectuate de gospodării pentru licențe,_Z,1995,NA
D59D,Impozit pe mijloacele de transport  detinute de persoane fizice*),C,1995,NA
D59D,Taxa Radio-TV,C,1995,NA
D59E,Impozite pe operațiunile internaționale,_Z,1995,NA
D59F,Alte impozite curente n.e.c.,_Z,1995,NA
D59F,Alte impozite si taxe pe proprietate de la populatie,KS,1995,NA
D91,Impozite pe capital,_Z,1995,0
D91A,Impozite pe transferurile de capital,_Z,1995,0
D91B,impozitele pe capital,_Z,1995,0
D91C,Alte impozite pe capital n.e.c.,_Z,1995,0
ODA,Totalul încasărilor fiscale,_Z,1995,1518.2
D61,Cotizatii sociale nete,_Z,1995,598.3
D611,Cotizatii sociale efective in sarcina angajatorilor,_Z,1995,442.9
D611,Contributii de asigurari sociale de stat datorate de angajatori,LEYRS,1995,440
D611,Contributii de asigurari pentru somaj datorate de angajatori,LEYRS,1995,0
D611,Contributii de asigurari sociale de sanatate  datorate de angajatori,LEYRS,1995,0
D611,Contributii de asigurare pentru accidente de munca si boli profesionale datorate de angajatori,LEYRS,1995,0
D611,Contributii de la persoane juridice  pt persoane cu handicap neincadrate,LEYRS,1995,2.9
D611,Contributia angajatorilor la fondul de  garantare pentru plata creantelor  salariale *),LEYRS,1995,0
D611,Contributii pentru concedii si indemnizatii de la persoane juridice sau fizice,LEYRS,1995,NA
D611,"Sume din contributia asiguratorie pentru munca, in curs de distribuire",LEYRS,1995,NA
D611,Venituri din contributia asiguratorie pentru munca pentru somaj,LEYRS,1995,NA
D611,Venituri din contributia asiguratorie pentru munca aferenta bugetului de stat,LEYRS,1995,NA
D611,Venituri din contributia asiguratorie pentru munca pentru fondul de garantare pentru plata creantelor salariale,LEYRS,1995,NA
D611,Venituri din contributia asiguratorie pentru munca pentru concedii si indemnizatii,LEYRS,1995,NA
D611,Venituri din contributia asiguratorie pentru munca pentru accidente de munca si boli profesionale,LEYRS,1995,NA
D611C,Cotizatii sociale efective obligatorii in sarcina angajatorilor,_Z,1995,442.9
D611C,Contributii de asigurari sociale de stat datorate de angajatori,LEYRS,1995,440
D611C,Contributii de asigurari pentru somaj datorate de angajatori,LEYRS,1995,0
D611C,Contributii de asigurari sociale de sanatate  datorate de angajatori,LEYRS,1995,0
D611C,Contributii de asigurare pentru accidente de munca si boli profesionale datorate de angajatori,LEYRS,1995,0
D611C,Contributii de la persoane juridice  pt persoane cu handicap neincadrate,LEYRS,1995,2.9
D611C,Contributia angajatorilor la fondul de  garantare pentru plata creantelor  salariale *),LEYRS,1995,0
D611C,Contributii pentru concedii si indemnizatii de la persoane juridice sau fizice,LEYRS,1995,NA
D611C,"Sume din contributia asiguratorie pentru munca, in curs de distribuire",LEYRS,1995,NA
D611C,Venituri din contributia asiguratorie pentru munca pentru somaj,LEYRS,1995,NA
D611C,Venituri din contributia asiguratorie pentru munca aferenta bugetului de stat,LEYRS,1995,NA
D611C,Venituri din contributia asiguratorie pentru munca pentru concedii si indemnizatii,LEYRS,1995,NA
D611C,Venituri din contributia asiguratorie pentru munca pentru fondul de garantare pentru plata creantelor salariale,LEYRS,1995,NA
D611C,Venituri din contributia asiguratorie pentru munca pentru accidente de munca si boli profesionale,LEYRS,1995,NA
D611V,Cotizatii sociale efective facultative in sarcina angajatorilor,_Z,1995,NA
D61SC,Tarife pentru serviciile prestate de sist. de asigurari sociale,_Z,1995,0
D6111,Cotizatii efective la fondul de pensii in sarcina angajatorilor,_Z,1995,440
D6111,Contributii pentru asigurari sociale de stat datorate de angajatori,LEYRS,1995,440
D6112,Alte cotizatii sociale efective in sarcina angajatorilor,_Z,1995,2.9
D6112,Contributii de asigurari pentru somaj datorate de angajatori,LEYRS,1995,0
D6112,Contributii de asigurari sociale de sanatate  datorate de angajatori,LEYRS,1995,0
D6112,Contributii de asigurare pentru accidente de munca si boli profesionale datorate de angajatori,LEYRS,1995,NA
D6112,Contributii de la persoane juridice  pt persoane cu handicap neincadrate,LEYRS,1995,2.9
D6112,Contributia angajatorilor la fondul de  garantare pentru plata creantelor  salariale *),LEYRS,1995,NA
D6112,"Sume din contributia asiguratorie pentru munca, in curs de distribuire",LEYRS,1995,NA
D6112,Venituri din contributia asiguratorie pentru munca aferenta bugetului de stat,LEYRS,1995,NA
D6112,Venituri din contributia asiguratorie pentru munca pentru concedii si indemnizatii,LEYRS,1995,NA
D6112,Venituri din contributia asiguratorie pentru munca pentru fondul de garantare pentru plata creantelor salariale,LEYRS,1995,NA
D6112,Venituri din contributia asiguratorie pentru munca pentru accidente de munca si boli profesionale,LEYRS,1995,NA
D612,Contributii sociale imputate in sarcina angajatorilor,_Z,1995,15.1
D6121,Cotizatii imputate la fondul de pensii in sarcina angajatorilor,_Z,1995,15.1
D6122,Alte cotizatii sociale imputate in sarcina angajatorilor,_Z,1995,0
D613,Cotizatii sociale efective in sarcina gospodariilor,_Z,1995,140.3
D613,Contributii de asigurari sociale de stat datorate de asigurati,LEES,1995,42.8
D613,Contributii de asigurari pentru somaj datorate de asigurati,LEES,1995,97.5
D613,Contributii de asigurari sociale de sanatate datorate de asigurati,LEES,1995,0
D613,Contributii de asigurare pentru accidente de munca si boli profesionale datorate de alte persoane fizice care incheie asigurare,LEES,1995,0
D613,Contributia individuala de asigurari sociale de sanatate datorata de persoanele care realizeaza venituri din activitati desfasurate,LEES,1995,NA
D6131,Cotizatii efective la fondul de pensii in sarcina gospodariilor,_Z,1995,42.8
D6131,Contributii de asigurari sociale de stat datorate de asigurati,LEES,1995,42.8
D6132,Alte cotizatii sociale efective  in sarcina gospodariilor,_Z,1995,97.5
D6132,Contributii de asigurari pentru somaj datorate de asigurati,LEES,1995,97.5
D6132,Contributii de asigurari sociale de sanatate datorate de asigurati,LEES,1995,0
D6132,Contributii de asigurare pentru accidente de munca si boli profesionale datorate de alte persoane fizice care incheie asigurare,LEES,1995,0
D6132,Contributia individuala de asigurari sociale de sanatate datorata de persoanele care realizeaza venituri din activitati desfasurate,LEES,1995,NA
D613C,Cotizatii sociale efective obligatorii in sarcina gospodariilor,_Z,1995,140.3
D613C,Contributii de asigurari sociale de stat datorate de asigurati,LEES,1995,0
D613C,Contributii pentru asigurari sociale(de sanatate) datorate de salariati si de alte persoane asimilate,LEES,1995,0
D613C,Contributii pentru pensia suplimentara,LEES,1995,42.8
D613C,Contributii datorate de persoane care incheie contract de asigurari pentru somaj,LEES,1995,97.5
D613C,Contributia individuala de asigurari sociale de sanatate datorata de persoanele care realizeaza venituri din activitati desfasurate,LEES,1995,NA
D613C,Contributii pentru asigurari sociale de stat datorate de alte persoane asigurate,LEES,1995,0
D613C,Contributii pentru asigurari de sanatate datorate de alte persoane asigurate,LEES,1995,0
D613C,Contributii de asigurari pentru somaj datorate de asigurati (individuale),LEES,1995,NA
D613C,Contributii de asigurare pentru accidente de munca si boli profesionale datorate de alte persoane fizice care incheie asigurare,LEES,1995,NA
D613C,Contributia agricultorilor asigurati,LEES,1995,NA
D613C,Contributia datorata de pensionari,LEES,1995,NA
D613CE,Cotizatii sociale efective obligatorii in sarcina salariatilor,_Z,1995,140.3
D613CE,Contributii de asigurari sociale de stat datorate de asigurati,LEES,1995,0
D613CE,Contributii pentru asigurari sociale de sanatate datorate de salariati si de alte persoane asimilate,LEES,1995,0
D613CE,Contributii pentru pensia suplimentara,LEES,1995,42.8
D613CE,Contributii datorate de persoane care incheie contract de asigurari pentru somaj,LEES,1995,97.5
D613CE,Contributia individuala de asigurari sociale de sanatate datorata de persoanele care realizeaza venituri din activitati desfasurate,LEES,1995,NA
D613CS,Cotizatii sociale efective obligatorii in sarcina lucratorilor independenti,_Z,1995,NA
D613CS,Contributii pentru asigurari sociale de stat datorate de alte persoane asigurate,KISE,1995,NA
D613CS,Contributii pentru asigurari de sanatate datorate de alte persoane asigurate,KISE,1995,NA
D613CS,Contributii de asigurari pentru somaj datorate de asigurati (individuale),KISE,1995,NA
D613CS,Contributii de asigurare pentru accidente de munca si boli profesionale datorate de alte persoane fizice care incheie asigurare,KISE,1995,NA
D613CS,Contributia agricultorilor asigurati,KISE,1995,NA
D613CS,Contributia datorata de pensionari,KISE,1995,NA
D613CN,Cotizatii sociale efective obligatorii in sarcina somerilor,_Z,1995,0
D613V,Cotizatii sociale efective facultative in sarcina gospodariilor,_Z,1995,0
D613V,Contributii facultative la asigurarile sociale de stat,LEES,1995,0
D613V,Contributii facultative la asigurarile sociale de sanatate,LEES,1995,0
D614,Cotizatii suplimentare in sarcina gospodariilor,_Z,1995,0
D6141,Cotizatii suplimentare la fondul de pensii in sarcina gospodariilor,_Z,1995,0
D6142,Alte cotizatii sociale suplimentare  in sarcina gospodariilor,_Z,1995,0
D995,"Transferuri de capital de la adm.publice catre sectoarele relevante reprez.impozite si cotizatii,a caror colectare este improbabila",_Z,1995,NA
D995A,"Impozite pe produse evaluate, dar puțin probabil să fie colectate (2)",_Z,1995,NA
D995B,"Alte impozite pe producție evaluate, dar puțin probabil să fie colectate (2)",_Z,1995,NA
D995C,"Impozit pe profit evaluate, dar puțin probabil să fie colectate (2)",_Z,1995,NA
D995D,"Alte impozite curente evaluate, dar puțin probabil să fie colectate (2)",_Z,1995,NA
D995E,"Contribuțiile sociale efective ale angajatorilor evaluat, dar puțin probabil să fie colectate (2)",_Z,1995,NA
D995F,"Contribuții sociale efective în sarcina gospodăriilor populației evaluate, dar puțin probabil să fie colectate (2)",_Z,1995,NA
D995FE,"Contribuții sociale efective suportate de angajați evaluat, dar puțin probabil să fie colectate (2)",_Z,1995,NA
D995FS,"Contribuții sociale efective de către persoanele care desfășoară activități independente evaluate, dar puțin probabil să fie colectate (1)",_Z,1995,NA
D995FN,"Contribuții sociale efective de către persoane fără loc de muncă evaluate, dar puțin probabil să fie colectate (1)",_Z,1995,NA
D995G,"Impozite pe capital evaluate, dar puțin probabil să fie colectate (2)",_Z,1995,NA
ODB,TOTAL INCASARI DIN IMPOZITE SI CONTRIBUTII SOCIALE DUPA DEDUCEREA SUMELOR EVALUATE DAR PUTIN PROBABIL SA FIE COLECTATE,_Z,1995,2101.4
ODC,TOTAL INCASARI DIN IMPOZITE SI CONTRIBUTII SOCIALE (inclusiv contributiile sociale imputate)DUPA DEDUCEREA SUMELOR EVALUATE DAR PUTIN PROBABIL SA FIE COLECTATE,_Z,1995,2116.5
ODD,"Sarcina fiscala=totalul incasarilor fiscale din impozite si cotizatii,dupa deducerea sumelor calculate a caror colectare este improbabila",_Z,1995,2101.4
D2,IMPOZITE PE PRODUCTIE SI IMPORTURI,_Z,1996,999.8
D21,Impozite pe produse,_Z,1996,968.6
D211,Taxe de tip TVA,_Z,1996,533.3
D211,Taxa pe valoarea adaugata,C,1996,533.3
D212,"Impozite si drepturi asupra importurilor,exclusiv TVA",_Z,1996,185.3
D2121,Drepturi asupra importurilor,_Z,1996,185.3
D2121,Taxa de timbru social asupra valorii automobilelor noi din import,C,1996,0
D2121,Taxe vamale din sumele datorate pana la data de 31.12.2006,C,1996,0
D2121,Taxe vamale de la persoane juridice,C,1996,167.4
D2121,Taxe vamale si alte venituri incasate de la persoane fizice  prin unitatile vamale,C,1996,0
D2121,Incasari din comisioane pentru servicii vamale,C,1996,17.9
D2121,Taxe anti-dumpind pe produse,C,1996,0
D2121,Taxe vamale legate de sectorul agricol,C,1996,0
D2122,"Impozite pe importuri, exclusiv TVA și drepturile de import",_Z,1996,NA
D2122A,Prelevările asupra produselor agricole importate,_Z,1996,NA
